,precision,recall,f1-score,support
Normal,1.0,0.9966666666666667,0.998330550918197,300.0
Fault-1,0.9966777408637874,1.0,0.9983361064891847,300.0
Fault-2,1.0,1.0,1.0,300.0
Fault-3,1.0,1.0,1.0,300.0
Fault-4,0.9868421052631579,1.0,0.9933774834437086,300.0
Fault-5,1.0,0.9866666666666667,0.9932885906040269,300.0
Fault-6,1.0,1.0,1.0,300.0
accuracy,0.9976190476190476,0.9976190476190476,0.9976190476190476,0.9976190476190476
macro avg,0.9976456923038493,0.9976190476190475,0.9976189616364453,2100.0
weighted avg,0.9976456923038493,0.9976190476190476,0.9976189616364454,2100.0
