,precision,recall,f1-score,support
Normal,1.0,1.0,1.0,300.0
Fault-1,1.0,1.0,1.0,300.0
Fault-2,1.0,1.0,1.0,300.0
Fault-3,1.0,1.0,1.0,300.0
Fault-4,0.9966555183946488,0.9933333333333333,0.994991652754591,300.0
Fault-5,0.9933554817275747,0.9966666666666667,0.9950083194675541,300.0
Fault-6,1.0,1.0,1.0,300.0
accuracy,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286
macro avg,0.9985730000174604,0.9985714285714286,0.9985714246031635,2100.0
weighted avg,0.9985730000174605,0.9985714285714286,0.9985714246031637,2100.0
