Axis,mean,std,min,max,abs_max
X,3.5710160732269287,14.02212142944336,-97.61514282226562,119.40687561035156,119.40687561035156
Y,0.10141337662935257,8.364054679870605,-119.25354766845703,124.31513214111328,124.31513214111328
Z,-1.222584843635559,5.045079231262207,-235.37855529785156,278.2562255859375,278.2562255859375
